score,time,label,n,contrast,subject
-0.01349243079030624,-0.03,t0_s0,1794,voiced,04
-0.007715624964930456,-0.02,t0_s0,1794,voiced,04
0.010875638070862304,-0.01,t0_s0,1794,voiced,04
-0.007564004058682643,0.0,t0_s0,1794,voiced,04
-0.005031796676814551,0.01,t0_s0,1794,voiced,04
0.03886049023493023,0.02,t0_s0,1794,voiced,04
0.0618213937227564,0.03,t0_s0,1794,voiced,04
-0.004472133579443817,0.04,t0_s0,1794,voiced,04
-0.03493481597671598,0.05,t0_s0,1794,voiced,04
-0.04570291036982869,0.06,t0_s0,1794,voiced,04
-0.02336105140625089,0.07,t0_s0,1794,voiced,04
-0.015265476091960817,0.08,t0_s0,1794,voiced,04
-0.02503721951408376,0.09,t0_s0,1794,voiced,04
-0.01603494166892913,0.1,t0_s0,1794,voiced,04
-0.008603202575638675,0.11,t0_s0,1794,voiced,04
-0.014578161099800353,0.12,t0_s0,1794,voiced,04
-0.015153026293920662,0.13,t0_s0,1794,voiced,04
-0.0036444048648044,0.14,t0_s0,1794,voiced,04
-0.0011953819246525047,0.15,t0_s0,1794,voiced,04
-0.0165303268454004,0.16,t0_s0,1794,voiced,04
-0.0264341878643665,0.17,t0_s0,1794,voiced,04
0.00359147408038671,0.18,t0_s0,1794,voiced,04
0.0004674916340582529,0.19,t0_s0,1794,voiced,04
0.008205168989076347,0.2,t0_s0,1794,voiced,04
0.04179730496603081,0.21,t0_s0,1794,voiced,04
0.05670803483832136,0.22,t0_s0,1794,voiced,04
0.05187235762187366,0.23,t0_s0,1794,voiced,04
0.04069692208480787,0.24,t0_s0,1794,voiced,04
0.03206024896755594,0.25,t0_s0,1794,voiced,04
0.027364100367194343,0.26,t0_s0,1794,voiced,04
0.031505008426994385,0.27,t0_s0,1794,voiced,04
0.026995909324033465,0.28,t0_s0,1794,voiced,04
0.0188196097110903,0.29,t0_s0,1794,voiced,04
0.0023265315090199006,0.3,t0_s0,1794,voiced,04
0.013426986046013435,0.31,t0_s0,1794,voiced,04
0.00835693459151043,0.32,t0_s0,1794,voiced,04
0.012006156556863521,0.33,t0_s0,1794,voiced,04
0.007271531205925182,0.34,t0_s0,1794,voiced,04
0.017234382040776593,0.35,t0_s0,1794,voiced,04
0.016037253791180324,0.36,t0_s0,1794,voiced,04
0.016230744989522403,0.37,t0_s0,1794,voiced,04
0.018177794896874565,0.38,t0_s0,1794,voiced,04
7.0304696209462275e-06,0.39,t0_s0,1794,voiced,04
0.032905572187902986,0.4,t0_s0,1794,voiced,04
0.024228204595791218,0.41,t0_s0,1794,voiced,04
0.0006193301542685595,0.42,t0_s0,1794,voiced,04
-0.01519937326593985,0.43,t0_s0,1794,voiced,04
-0.013651896026263797,0.44,t0_s0,1794,voiced,04
-0.01373700321422739,0.45,t0_s0,1794,voiced,04
0.005348759897657651,0.46,t0_s0,1794,voiced,04
-0.0005472161090586998,0.47,t0_s0,1794,voiced,04
0.029464678940399672,0.48,t0_s0,1794,voiced,04
0.01717786115092446,0.49,t0_s0,1794,voiced,04
-0.0032147309547777315,0.5,t0_s0,1794,voiced,04
-0.0075982330130710575,0.51,t0_s0,1794,voiced,04
0.007347875634190663,0.52,t0_s0,1794,voiced,04
-0.009756152142806028,0.53,t0_s0,1794,voiced,04
0.004551138147496584,0.54,t0_s0,1794,voiced,04
0.00020725126757185458,0.55,t0_s0,1794,voiced,04
-0.004948421082253392,0.56,t0_s0,1794,voiced,04
-0.02008172591708149,0.57,t0_s0,1794,voiced,04
-0.0005689131535991097,0.58,t0_s0,1794,voiced,04
0.02307080107858282,0.59,t0_s0,1794,voiced,04
0.021306924260073638,0.6,t0_s0,1794,voiced,04
0.014070634372652194,-0.2,t0_s1,1794,voiced,04
0.018268779327683938,-0.19,t0_s1,1794,voiced,04
-0.004369206195539458,-0.18,t0_s1,1794,voiced,04
-0.008574426541524065,-0.17,t0_s1,1794,voiced,04
-0.0017641845646048037,-0.16,t0_s1,1794,voiced,04
-0.01196806556811501,-0.15,t0_s1,1794,voiced,04
-0.008477043462276975,-0.14,t0_s1,1794,voiced,04
-0.01833983660702701,-0.13,t0_s1,1794,voiced,04
-0.024058404588906658,-0.12,t0_s1,1794,voiced,04
-0.0005349058524911567,-0.11,t0_s1,1794,voiced,04
0.004103644737044041,-0.1,t0_s1,1794,voiced,04
-0.030340645684286214,-0.09,t0_s1,1794,voiced,04
-0.0024760586069388552,-0.08,t0_s1,1794,voiced,04
0.051938991213210696,-0.07,t0_s1,1794,voiced,04
0.0071669338292411205,-0.06,t0_s1,1794,voiced,04
0.016732555050142855,-0.05,t0_s1,1794,voiced,04
0.031643482199267374,-0.04,t0_s1,1794,voiced,04
0.02757128051012487,-0.03,t0_s1,1794,voiced,04
-0.0031875839033224246,-0.02,t0_s1,1794,voiced,04
-0.00828966530645149,-0.01,t0_s1,1794,voiced,04
0.025331653451774846,0.0,t0_s1,1794,voiced,04
0.02321593668491548,0.01,t0_s1,1794,voiced,04
0.006919755758396535,0.02,t0_s1,1794,voiced,04
0.013569766301326582,0.03,t0_s1,1794,voiced,04
0.006386154949865853,0.04,t0_s1,1794,voiced,04
-0.0050214338971601245,0.05,t0_s1,1794,voiced,04
0.03305813692061212,0.06,t0_s1,1794,voiced,04
0.009477342357548059,0.07,t0_s1,1794,voiced,04
-0.0006834334319023392,0.08,t0_s1,1794,voiced,04
-0.031714637906612664,0.09,t0_s1,1794,voiced,04
-0.06812873490005325,0.1,t0_s1,1794,voiced,04
-0.014567715703203353,0.11,t0_s1,1794,voiced,04
0.011760762350899193,0.12,t0_s1,1794,voiced,04
0.02558504477730293,0.13,t0_s1,1794,voiced,04
0.025837128597125572,0.14,t0_s1,1794,voiced,04
-0.003053159039990332,0.15,t0_s1,1794,voiced,04
-0.007432274933691059,0.16,t0_s1,1794,voiced,04
-0.01181567967253934,0.17,t0_s1,1794,voiced,04
0.0012042321986193041,0.18,t0_s1,1794,voiced,04
0.009683716914521015,0.19,t0_s1,1794,voiced,04
0.04377594033087417,0.2,t0_s1,1794,voiced,04
0.07271706421075667,0.21,t0_s1,1794,voiced,04
